,Report_No,Reported_Date,Race,Sex,Age
218,KC20029608,5/5/2020,W,M,35.0
219,KC20029636,5/6/2020,W,M,26.0
220,KC20029894,5/7/2020,W,M,
221,KC20030268,5/8/2020,,,
222,KC20030522,5/10/2020,,U,
223,KC20030554,5/10/2020,,,
224,KC20030589,5/10/2020,B,M,61.0
225,KC20030612,5/10/2020,B,M,20.0
226,KC20030664,5/11/2020,W,M,
227,KC20031089,5/12/2020,,,
228,KC20031139,5/13/2020,B,M,65.0
229,KC20031207,5/13/2020,W,M,34.0
230,KC20031411,5/14/2020,B,M,23.0
231,KC20031480,5/14/2020,W,M,32.0
232,KC20031849,5/16/2020,W,F,18.0
233,KC20031862,5/16/2020,B,M,34.0
234,KC20031905,5/16/2020,B,M,
235,KC20031978,5/16/2020,W,F,42.0
236,KC20032144,5/17/2020,B,M,20.0
237,KC20032228,5/18/2020,B,F,
238,KC20032439,5/18/2020,B,F,59.0
239,KC20032463,5/18/2020,B,M,21.0
240,KC20032490,5/19/2020,W,M,30.0
241,KC20032557,5/19/2020,B,M,46.0
242,KC20032596,5/19/2020,W,F,
243,KC20032648,5/19/2020,W,M,38.0
244,KC20032679,5/19/2020,B,M,
245,KC20032714,5/19/2020,B,F,42.0
246,KC20032757,5/20/2020,W,F,34.0
247,KC20032776,5/20/2020,W,M,54.0
248,KC20032841,5/20/2020,W,M,
249,KC20032912,5/20/2020,B,F,49.0
250,KC20032932,5/20/2020,B,M,57.0
251,KC20033028,5/21/2020,B,M,63.0
252,KC20033073,5/21/2020,B,M,26.0
253,KC20033109,5/21/2020,B,F,44.0
254,KC20033159,5/21/2020,,,
255,KC20033395,5/22/2020,B,F,
256,KC20033501,5/22/2020,B,F,
257,KC20033883,5/24/2020,W,M,25.0
258,KC20033902,5/24/2020,,,
259,KC20034130,5/25/2020,B,M,22.0
260,KC20034258,5/26/2020,B,M,32.0
261,KC20034310,5/26/2020,B,M,
262,KC20034435,5/26/2020,,,
263,KC20034539,5/27/2020,B,M,
264,KC20034702,5/28/2020,,,
265,KC20034899,5/28/2020,W,M,59.0
266,KC20035053,5/29/2020,W,F,87.0
267,KC20035223,5/29/2020,B,M,
268,KC20035579,5/31/2020,B,M,22.0
269,KC20035591,5/31/2020,B,M,59.0
270,KC20035762,6/1/2020,B,F,23.0
271,KC20035925,6/2/2020,,,
272,KC20035986,6/2/2020,,,
273,KC20036010,6/2/2020,B,M,
274,KC20036033,6/2/2020,W,M,23.0
275,KC20036044,6/2/2020,B,M,
276,KC20036237,6/3/2020,W,F,32.0
277,KC20036419,6/3/2020,B,M,24.0
278,KC20036433,6/3/2020,,,
279,KC20036686,6/4/2020,,,
280,KC20036879,6/5/2020,W,M,48.0
281,KC20036911,6/5/2020,,,
282,KC20037037,6/5/2020,U,M,
283,KC20037085,6/6/2020,B,M,
284,KC20037164,6/6/2020,W,F,25.0
285,KC20037282,6/6/2020,B,M,20.0
286,KC20037355,6/7/2020,B,M,59.0
287,KC20037511,6/8/2020,B,F,29.0
288,KC20037701,6/8/2020,W,M,21.0
289,KC20038030,6/10/2020,,,
290,KC20038129,6/10/2020,W,F,
291,KC20038286,6/10/2020,B,M,62.0
292,KC20038450,6/11/2020,,,
293,KC20038492,6/11/2020,,,
294,KC20038647,6/12/2020,W,M,25.0
295,KC20038679,6/12/2020,B,F,
296,KC20038735,6/12/2020,W,M,27.0
297,KC20038761,6/12/2020,W,M,41.0
298,KC20038819,6/13/2020,W,M,23.0
299,KC20038828,6/13/2020,B,M,38.0
300,KC20038889,6/13/2020,W,M,
301,KC20039015,6/13/2020,B,F,
302,KC20039046,6/14/2020,B,M,
303,KC20039119,6/14/2020,W,F,44.0
304,KC20039228,6/14/2020,W,F,33.0
305,KC20039346,6/15/2020,,,
306,KC20039409,6/15/2020,B,F,
307,KC20039458,6/15/2020,U,F,53.0
308,KC20039465,6/15/2020,,,
309,KC20039575,6/16/2020,U,M,59.0
310,KC20039963,6/17/2020,B,M,29.0
311,KC20040196,6/18/2020,,,
312,KC20040441,6/19/2020,U,M,40.0
313,KC20040648,6/19/2020,,,
314,KC20040713,6/20/2020,W,M,34.0
315,KC20040761,6/20/2020,B,M,
316,KC20040944,6/21/2020,B,M,19.0
317,KC20040987,6/21/2020,B,F,
318,KC20041104,6/21/2020,B,M,26.0
319,KC20041175,6/22/2020,W,M,47.0
320,KC20041273,6/22/2020,,,
321,KC20041503,6/23/2020,W,F,19.0
322,KC20041571,6/23/2020,W,F,44.0
323,KC20041666,6/23/2020,B,M,
324,KC20041884,6/24/2020,B,M,58.0
325,KC20042051,6/25/2020,,,
326,KC20042185,6/26/2020,W,F,26.0
327,KC20042507,6/27/2020,B,M,36.0
328,KC20042568,6/27/2020,W,M,59.0
329,KC20042620,6/27/2020,W,M,49.0
330,KC20042688,6/28/2020,B,F,21.0
331,KC20042747,6/28/2020,W,F,30.0
332,KC20043066,6/29/2020,B,M,69.0
333,KC20043321,6/30/2020,B,M,19.0
334,KC20043439,7/1/2020,W,M,54.0
335,KC20043536,7/1/2020,B,M,72.0
336,KC20043590,7/1/2020,B,F,
337,KC20043620,7/1/2020,W,F,41.0
338,KC20043631,7/1/2020,B,M,30.0
339,KC20043669,7/2/2020,B,M,
340,KC20043744,7/2/2020,B,M,
341,KC20043825,7/2/2020,B,M,27.0
342,KC20044055,7/3/2020,,,
343,KC20044075,7/3/2020,B,M,
344,KC20044128,7/4/2020,,,
345,KC20044305,7/4/2020,W,F,
346,KC20044330,7/5/2020,B,F,47.0
347,KC20044341,7/5/2020,B,M,21.0
348,KC20044596,7/6/2020,B,M,54.0
349,KC20044601,7/6/2020,,,
350,KC20044711,7/6/2020,B,M,
351,KC20044751,7/6/2020,,,
352,KC20044896,7/7/2020,B,M,27.0
353,KC20045018,7/7/2020,W,M,
354,KC20045130,7/7/2020,W,F,32.0
355,KC20045157,7/8/2020,B,F,40.0
356,KC20045207,7/8/2020,B,F,
357,KC20045330,7/8/2020,B,M,41.0
358,KC20045388,7/8/2020,,,
359,KC20045407,7/8/2020,W,F,
360,KC20045473,7/9/2020,B,F,
361,KC20045511,7/9/2020,B,F,22.0
362,KC20045648,7/9/2020,W,F,36.0
363,KC20045768,7/10/2020,B,M,39.0
364,KC20045932,7/11/2020,,,
365,KC20045950,7/11/2020,B,M,34.0
366,KC20046064,7/11/2020,B,M,35.0
367,KC20046075,7/11/2020,W,M,45.0
368,KC20046271,7/12/2020,,,
369,KC20046336,7/12/2020,W,M,20.0
370,KC20046374,7/13/2020,B,M,
371,KC20046543,7/13/2020,,,
372,KC20046610,7/13/2020,,,
373,KC20046628,7/13/2020,B,M,28.0
374,KC20046764,7/14/2020,W,M,38.0
375,KC20046801,7/14/2020,B,M,
376,KC20047069,7/15/2020,,,
377,KC20047124,7/15/2020,W,M,30.0
378,KC20047396,7/16/2020,W,F,20.0
379,KC20047554,7/17/2020,W,M,37.0
380,KC20047597,7/17/2020,B,F,22.0
381,KC20047610,7/17/2020,B,F,37.0
382,KC20047667,7/17/2020,B,M,
383,KC20047769,7/18/2020,U,F,24.0
384,KC20047822,7/18/2020,,,
385,KC20047861,7/18/2020,W,F,28.0
386,KC20048029,7/19/2020,W,M,29.0
387,KC20048259,7/20/2020,B,F,38.0
388,KC20048475,7/21/2020,W,F,21.0
389,KC20048551,7/21/2020,B,F,38.0
390,KC20048711,7/22/2020,B,M,45.0
391,KC20048781,7/22/2020,,,
392,KC20048841,7/22/2020,W,F,
393,KC20048915,7/22/2020,W,M,
394,KC20048950,7/22/2020,B,F,
395,KC20048964,7/22/2020,B,F,22.0
396,KC20048999,7/23/2020,B,M,29.0
397,KC20049056,7/23/2020,,,
398,KC20049217,7/23/2020,W,M,19.0
399,KC20049229,7/23/2020,W,F,46.0
400,KC20049464,7/24/2020,,,
401,KC20049625,7/25/2020,W,M,48.0
402,KC20049641,7/25/2020,B,M,
403,KC20049748,7/25/2020,B,F,32.0
404,KC20049792,7/26/2020,W,M,35.0
405,KC20049866,7/26/2020,W,M,41.0
406,KC20049925,7/26/2020,W,M,
407,KC20049963,7/26/2020,B,F,25.0
408,KC20050080,7/27/2020,B,M,28.0
409,KC20050773,7/29/2020,U,M,
410,KC20050820,7/30/2020,W,M,
411,KC20050881,7/30/2020,,,
412,KC20050902,7/30/2020,B,M,20.0
413,KC20051152,7/31/2020,,,
414,KC20051265,7/31/2020,,,
415,KC20051284,7/31/2020,B,F,
416,KC20051346,8/1/2020,B,M,31.0
417,KC20051391,8/1/2020,W,F,32.0
418,KC20051583,8/2/2020,W,F,20.0
419,KC20051673,8/2/2020,W,M,29.0
420,KC20051732,8/2/2020,B,M,24.0
421,KC20051824,8/3/2020,,,
422,KC20052048,8/4/2020,,M,54.0
423,KC20052115,8/4/2020,U,U,
424,KC20052230,8/4/2020,W,F,49.0
425,KC20052334,8/5/2020,W,F,54.0
426,KC20052472,8/5/2020,W,M,
427,KC20052585,8/6/2020,B,F,30.0
428,KC20052730,8/6/2020,B,F,
429,KC20053046,8/7/2020,B,M,22.0
430,KC20053392,8/9/2020,B,M,58.0
431,KC20053454,8/9/2020,B,M,19.0
432,KC20053472,8/9/2020,U,F,24.0
433,KC20053512,8/9/2020,W,M,26.0
434,KC20053526,8/9/2020,W,F,
435,KC20053626,8/10/2020,B,M,27.0
436,KC20053633,8/10/2020,B,M,49.0
437,KC20053799,8/10/2020,W,F,54.0
438,KC20053871,8/10/2020,B,M,18.0
439,KC20054157,8/12/2020,B,M,40.0
440,KC20054244,8/12/2020,,,
441,KC20054386,8/12/2020,U,M,53.0
442,KC20054539,8/13/2020,,,
443,KC20054584,8/13/2020,B,M,65.0
444,KC20054850,8/14/2020,W,M,
445,KC20054881,8/14/2020,,,
446,KC20054908,8/14/2020,B,M,59.0
447,KC20054939,8/14/2020,B,F,
448,KC20055054,8/15/2020,W,M,32.0
449,KC20055115,8/15/2020,B,M,20.0
450,KC20055229,8/16/2020,W,M,37.0
451,KC20055340,8/16/2020,W,M,58.0
452,KC20055418,8/16/2020,B,M,58.0
453,KC20055479,8/17/2020,,U,
454,KC20055661,8/17/2020,W,M,64.0
455,KC20055710,8/17/2020,B,M,64.0
456,KC20055741,8/18/2020,W,M,23.0
457,KC20055829,8/18/2020,W,M,21.0
458,KC20055932,8/18/2020,B,M,47.0
459,KC20056073,8/19/2020,B,F,38.0
460,KC20056119,8/19/2020,B,F,26.0
461,KC20056167,8/19/2020,W,F,41.0
462,KC20056199,8/19/2020,B,M,26.0
463,KC20056263,8/19/2020,W,F,31.0
464,KC20056362,8/20/2020,W,F,72.0
465,KC20056430,8/20/2020,W,F,56.0
466,KC20056479,8/20/2020,B,F,22.0
467,KC20056503,8/20/2020,,U,
468,KC20056543,8/20/2020,W,M,21.0
469,KC20056650,8/21/2020,,,
470,KC20056766,8/21/2020,B,M,20.0
471,KC20056861,8/22/2020,B,M,
472,KC20056893,8/22/2020,W,F,44.0
473,KC20057011,8/22/2020,B,F,19.0
474,KC20057016,8/22/2020,W,F,22.0
475,KC20057089,8/23/2020,B,F,22.0
476,KC20057760,8/25/2020,W,F,48.0
477,KC20057983,8/26/2020,W,M,
478,KC20058032,8/26/2020,B,F,28.0
479,KC20058041,8/26/2020,W,M,55.0
480,KC20058130,8/27/2020,W,F,28.0
481,KC20058163,8/27/2020,B,F,25.0
482,KC20058419,8/28/2020,W,M,30.0
483,KC20058466,8/28/2020,B,F,26.0
484,KC20058516,8/28/2020,W,F,36.0
485,KC20058662,8/29/2020,W,M,30.0
486,KC20059149,8/31/2020,B,M,
487,KC20059383,8/31/2020,B,M,25.0
488,KC20059938,9/2/2020,B,M,18.0
489,KC20060303,9/4/2020,,,
490,KC20060345,9/4/2020,,,
491,KC20060416,9/4/2020,B,M,29.0
492,KC20060423,9/4/2020,W,M,40.0
493,KC20060548,9/5/2020,W,F,
494,KC20060738,9/6/2020,,,
495,KC20061074,9/7/2020,B,M,51.0
496,KC20061132,9/8/2020,W,F,26.0
497,KC20061181,9/8/2020,W,M,47.0
498,KC20061215,9/8/2020,,,
499,KC20061223,9/8/2020,B,F,62.0
500,KC20061457,9/9/2020,W,M,52.0
501,KC20061748,9/10/2020,B,M,26.0
502,KC20061922,9/10/2020,W,M,47.0
503,KC20061959,9/11/2020,W,M,
504,KC20062032,9/11/2020,W,M,36.0
505,KC20062052,9/11/2020,W,M,55.0
506,KC20062300,9/12/2020,W,M,54.0
507,KC20062333,9/12/2020,,,
508,KC20062429,9/12/2020,,U,
509,KC20062454,9/12/2020,B,M,
510,KC20062607,9/13/2020,B,F,26.0
511,KC20062789,9/14/2020,W,M,39.0
512,KC20062842,9/14/2020,B,M,25.0
513,KC20062904,9/14/2020,W,F,70.0
514,KC20063171,9/15/2020,W,F,40.0
515,KC20063547,9/17/2020,U,F,57.0
516,KC20063590,9/17/2020,W,M,46.0
517,KC20063596,9/17/2020,B,M,38.0
518,KC20063717,9/17/2020,W,M,29.0
519,KC20063792,9/18/2020,,,
520,KC20063880,9/18/2020,W,M,
521,KC20063911,9/18/2020,W,M,
522,KC20063985,9/18/2020,B,M,35.0
523,KC20064035,9/19/2020,B,M,43.0
524,KC20064070,9/19/2020,,,
525,KC20064084,9/19/2020,B,M,
526,KC20064141,9/19/2020,W,M,35.0
527,KC20064172,9/19/2020,,,
528,KC20064241,9/19/2020,W,M,24.0
529,KC20064486,9/21/2020,W,M,60.0
530,KC20064714,9/21/2020,,F,27.0
531,KC20064820,9/22/2020,W,M,
532,KC20064898,9/22/2020,,,
533,KC20064963,9/22/2020,W,M,57.0
534,KC20065006,9/23/2020,,,
535,KC20065025,9/23/2020,U,M,
536,KC20065139,9/23/2020,,,
537,KC20065217,9/23/2020,,,
538,KC20065242,9/24/2020,W,F,48.0
539,KC20065333,9/24/2020,W,F,
540,KC20065406,9/24/2020,W,M,41.0
541,KC20065518,9/25/2020,W,M,43.0
542,KC20065646,9/25/2020,W,F,35.0
543,KC20065838,9/26/2020,W,M,37.0
544,KC20065850,9/26/2020,,,
545,KC20065950,9/26/2020,W,F,39.0
546,KC20065985,9/26/2020,,,
547,KC20014032,2/24/2020,B,M,25.0
548,KC20002067,1/9/2020,B,M,24.0
549,KC20008517,2/3/2020,B,F,44.0
550,KC20000615,1/3/2020,W,M,39.0
551,KC20013774,2/23/2020,W,F,31.0
552,KC20016117,3/3/2020,W,M,38.0
553,KC20016021,3/3/2020,B,F,
554,KC20000831,1/4/2020,B,F,48.0
555,KC20000055,1/1/2020,B,M,25.0
556,KC20010660,2/11/2020,B,F,30.0
557,KC20015883,3/2/2020,B,F,38.0
558,KC20015519,3/1/2020,W,F,43.0
559,KC20005290,1/22/2020,B,M,31.0
560,KC20005724,1/23/2020,B,F,
561,KC20007346,1/29/2020,B,M,52.0
562,KC20005583,1/23/2020,,,
563,KC20014743,2/27/2020,,,
564,KC20002555,1/10/2020,,,
565,KC20009854,2/7/2020,B,M,30.0
566,KC20011754,2/15/2020,,U,
567,KC20012804,2/20/2020,B,M,32.0
568,KC20002111,1/9/2020,B,F,
569,KC20008024,2/1/2020,W,F,32.0
570,KC20002933,1/12/2020,W,F,33.0
571,KC20013506,2/22/2020,W,F,34.0
572,KC20008439,2/3/2020,,,
573,KC20005361,1/22/2020,,,
574,KC20001220,1/6/2020,B,F,26.0
575,KC20001545,1/7/2020,W,F,53.0
576,KC20005448,1/22/2020,B,M,
577,KC20000961,1/4/2020,W,F,41.0
578,KC20009890,2/8/2020,B,M,45.0
579,KC20002771,1/12/2020,B,F,28.0
580,KC20007255,1/29/2020,W,M,71.0
581,KC20016437,3/4/2020,B,M,30.0
582,KC20014618,2/26/2020,W,F,25.0
583,KC20009918,2/8/2020,W,M,29.0
584,KC20009074,2/5/2020,B,F,
585,KC20002580,1/10/2020,,M,41.0
586,KC20012931,2/20/2020,W,M,86.0
587,KC20015472,2/29/2020,W,M,54.0
588,KC20013138,2/21/2020,B,M,
589,KC20003836,1/16/2020,B,M,
590,KC20010753,2/11/2020,B,M,30.0
591,KC20004190,1/17/2020,B,M,19.0
592,KC20015336,2/29/2020,B,F,59.0
593,KC20001486,1/7/2020,B,M,34.0
594,KC20008524,2/3/2020,B,M,48.0
595,KC20015702,3/2/2020,W,M,25.0
596,KC20001390,1/6/2020,,M,
597,KC20004201,1/17/2020,,,
598,KC20002369,1/10/2020,W,M,39.0
599,KC20008869,2/4/2020,,,
600,KC20014920,2/27/2020,B,M,23.0
601,KC20009313,2/6/2020,,,
602,KC20000766,1/3/2020,,,
603,KC20007344,1/29/2020,B,M,33.0
604,KC20015917,3/2/2020,W,M,25.0
605,KC20015989,3/2/2020,B,F,19.0
606,KC20015193,2/28/2020,W,M,42.0
607,KC20008821,2/4/2020,W,M,39.0
608,KC20004494,1/18/2020,,,
609,KC20007728,1/31/2020,W,M,27.0
610,KC20012906,2/20/2020,B,M,
611,KC20004407,1/18/2020,B,M,37.0
612,KC20003932,1/16/2020,,,
613,KC20001763,1/8/2020,W,F,48.0
614,KC20017148,3/7/2020,B,M,31.0
615,KC20005344,1/22/2020,U,M,
616,KC20011334,2/13/2020,W,M,20.0
617,KC20001224,1/6/2020,B,M,31.0
618,KC20014657,2/26/2020,,,
619,KC20010443,2/10/2020,W,M,21.0
620,KC20013203,2/21/2020,U,F,
621,KC20001600,1/7/2020,B,M,58.0
622,KC20013845,2/24/2020,B,M,18.0
623,KC20016296,3/4/2020,B,M,29.0
624,KC20002010,1/8/2020,B,M,26.0
625,KC20006213,1/25/2020,,,
626,KC20005398,1/22/2020,W,F,36.0
627,KC20013247,2/21/2020,B,M,30.0
628,KC20009131,2/5/2020,B,F,49.0
629,KC20003913,1/16/2020,B,F,
630,KC20001297,1/6/2020,B,M,26.0
631,KC20014553,2/26/2020,W,M,63.0
632,KC20007398,1/30/2020,W,F,27.0
633,KC20010490,2/10/2020,B,M,
634,KC20015322,2/29/2020,,,
635,KC20005275,1/22/2020,W,M,62.0
636,KC20006270,1/26/2020,W,M,54.0
637,KC20000596,1/3/2020,W,M,56.0
638,KC20013776,2/23/2020,U,F,
639,KC20008142,2/1/2020,B,M,57.0
640,KC20003841,1/16/2020,W,F,52.0
641,KC20005010,1/21/2020,,,
642,KC20010257,2/2/2020,B,M,26.0
643,KC20006288,1/26/2020,B,M,28.0
644,KC20013480,2/22/2020,,,
645,KC20015787,3/2/2020,B,F,30.0
646,KC20009359,2/6/2020,B,M,25.0
647,KC20005495,1/22/2020,W,M,19.0
